full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"   59P/Kearns-Kwee",.4754287676142775,2.35521252462335,9.339898417963099,313.0323545748532,127.5232197137293,6.624359282667593,20090307.6523809,9.51363861691776,JFc,10474,0,1046,,2.787145888506149E-8,-2.432281883246637E-9,-2.00786407822556E-9,,9.8,16.,14.7,5.,0.03,1.58,,,,
"   60P/Tsuchinshan 2",.5384297030693533,1.618164050326832,3.610696486634454,267.6841949861678,216.3821697146897,5.393396533563901,20120513.5279823,6.56425200029049,JFc,7474,0,336,,,,,,11.5,15.0,,,,,,,,
"   61P/Shajn-Schaldach",.4266921436652285,2.110519378969819,6.007764953028679,163.0891024911736,221.8295259706238,5.252084693692405,20150930.9693951,7.06334434178254,JFc,6124,0,1502,,7.968180502614994E-9,-3.061770130421073E-10,-6.011276877364649E-9,-168.0933894384228,13.4,8.,,,,2.4,,,,
"   62P/Tsuchinshan 1",0.57800841084276,1.48905166164978,10.5021442034695,96.74903768918099,22.86372369456345,5.568205875750728,20041207.9314513,6.62852896118174,JFc,7580,0,733,,5.139654424694536E-9,-3.354555452174294E-10,-1.819901206259925E-9,17.41772727857961,8.0,20.0,,,,,,,,
"   63P/Wild 1",.6509190323024351,1.950577151905188,19.77997964011996,358.0018642381609,169.0295202220291,9.224922702874174,20130410.8313401,13.208808523438,JFc,19491,0,1948,,3.025094249986194E-9,-1.100220252464464E-9,,,8.,15.0,15.,5.0,0.03,2.9,,,,
"   64P/Swift-Gehrels",.6897325315715446,1.377114100967353,8.949907082161364,300.7413749069658,96.32254809159546,7.499833958992737,20090614.3859669,9.35101442486113,JFc,13599,1,231,,2.5009365395501E-9,1.017154527604736E-9,5.03617068548169E-10,-62.99285630262695,10.1,17.,13.9,5.,0.03,3.2,,,,
"   65P/Gunn",.3212875912779646,2.448988760658586,10.42364788582637,68.05972888999938,197.8569061510214,4.767584059248591,20100305.7729988,6.85424629884657,JFc,2986,0,2912,,,,,,6.7,14.,11.9,5.,0.03,10.8,,,,
"   66P/du Toit",0.787701486880903,1.27426677532374,18.7007363185961,22.21536497052719,257.249719336475,10.73021461837208,20030827.9919205,14.7054498017365,JFc,21651,0,155,,-3.768368006252503E-10,-1.10171779466945E-10,,,12.,9.0,19.4,5.0,0.03,,,,,
"   67P/Churyumov-Gerasimenko",.6414365761974745,1.242352456168495,7.04529818125678,50.08466699140272,12.84210194638212,5.687258171672374,20150813.2197252,6.44950609409456,JFc,7637,0,6311,,1.071488101300781E-9,-3.762322379061425E-11,2.506363470531532E-10,35.0871647938925,11.3,11.,13.9,5.,0.03,4.0,,,12.76137,
"   68P/Klemola",0.6406870098523979040194,1.7590187269943851067211,11.143745927377530335888,175.331926501967,153.9795052071384,8.031992314781744,20090120.9746316,10.8318969402737,JFc,16135,0,541,,4.417742948783479E-10,-2.31737098945487E-11,,,10.2,15.,14.3,5.,0.03,4.4,,,,
